,City,Country,Latitude,Longtitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,orange,US,33.7,-117.7675,292.92,84,90,0.45,1631702774
1,ribeira grande,PT,38.5167,-28.7,296.37,68,20,2.06,1631702551
2,mareeba,AU,-17,145.4333,293.55,90,25,1.62,1631702777
3,port elizabeth,ZA,-33.918,25.5701,290.31,67,40,10.29,1631702628
4,arraial do cabo,BR,-22.9661,-42.0278,296.13,100,20,0.51,1631702599
5,ushuaia,AR,-54.8,-68.3,272.96,86,90,4.63,1631702522
6,saskylakh,RU,71.9167,114.0833,279.96,88,100,4.62,1631702535
7,minot,US,48.2325,-101.2963,285.7,62,1,0,1631702778
8,caceres,ES,39.522,-6.3748,292.48,67,51,2.15,1631702780
9,norman wells,CA,65.282,-126.8329,279.17,93,75,2.06,1631702782
10,hithadhoo,MV,-0.6,73.0833,300.67,75,83,0.3,1631702688
11,orange,US,33.7,-117.7675,292.92,84,90,0.45,1631702774
12,ribeira grande,PT,38.5167,-28.7,296.37,68,20,2.06,1631702551
13,mareeba,AU,-17,145.4333,293.55,90,25,1.62,1631702777
14,port elizabeth,ZA,-33.918,25.5701,290.31,67,40,10.29,1631702628
15,arraial do cabo,BR,-22.9661,-42.0278,296.13,100,20,0.51,1631702599
16,ushuaia,AR,-54.8,-68.3,272.96,86,90,4.63,1631702522
17,saskylakh,RU,71.9167,114.0833,279.96,88,100,4.62,1631702535
18,minot,US,48.2325,-101.2963,285.7,62,1,0,1631702778
19,caceres,ES,39.522,-6.3748,292.48,67,51,2.15,1631702780
20,norman wells,CA,65.282,-126.8329,279.17,93,75,2.06,1631702782
21,hithadhoo,MV,-0.6,73.0833,300.67,75,83,0.3,1631702688
22,barentsburg,US,33.7,-117.7675,292.92,84,90,0.45,1631702774
23,orange,PT,38.5167,-28.7,296.37,68,20,2.06,1631702551
24,ribeira grande,AU,-17,145.4333,293.55,90,25,1.62,1631702777
25,mareeba,ZA,-33.918,25.5701,290.31,67,40,10.29,1631702628
26,port elizabeth,BR,-22.9661,-42.0278,296.13,100,20,0.51,1631702599
27,arraial do cabo,AR,-54.8,-68.3,272.96,86,90,4.63,1631702522
28,ushuaia,RU,71.9167,114.0833,279.96,88,100,4.62,1631702535
29,saskylakh,US,48.2325,-101.2963,285.7,62,1,0,1631702778
30,minot,ES,39.522,-6.3748,292.48,67,51,2.15,1631702780
31,caceres,CA,65.282,-126.8329,279.17,93,75,2.06,1631702782
32,norman wells,MV,-0.6,73.0833,300.67,75,83,0.3,1631702688
33,hithadhoo,US,43.2128,-75.4557,296.85,86,90,0.89,1631702781
34,barentsburg,ZA,-34.5322,20.0403,290.77,48,40,5.14,1631702828
35,roma,AU,-24.8667,113.6333,293.19,60,40,4.63,1631702597
36,bredasdorp,US,42.6001,-73.9662,296.93,92,99,2.74,1631702297
37,carnarvon,AR,-38.0023,-57.5575,276.16,87,0,4.12,1631702645
38,albany,LK,5.9485,80.5353,301.33,75,83,5.12,1631702831
39,mar del plata,PE,-13.7,-76.2167,288.18,88,90,3.09,1631702700
40,matara,PF,-23.1203,-134.9692,296.23,78,83,6.87,1631702514
41,pisco,NZ,-46.1927,168.8643,280.08,92,81,1.65,1631702532
42,rikitea,US,28.017,-97.5169,299.07,83,18,2.17,1631702749
43,mataura,US,45.5234,-122.6762,291.9,81,90,0.89,1631702832
44,san patricio,MG,-14.2667,50.1667,297.69,72,92,5.53,1631702833
45,portland,SE,57.2645,16.4484,291.37,56,67,3.91,1631702835
46,sambava,TO,-21.2,-175.2,296.24,100,20,2.06,1631702533
47,oskarshamn,GL,60.1432,-45.2371,277.18,72,1,1.37,1631702554
48,vaini,BR,-20.3297,-40.2925,297.12,78,0,7.2,1631702837
49,nanortalik,MY,5.4112,100.3354,304.11,76,20,2.57,1631702583
50,vila velha,US,25.9726,-81.729,297.18,100,1,2.06,1631702716
51,georgetown,RE,-21.15,55.2833,298.61,68,12,0.65,1631702839
52,marco,RU,61.1333,74.8167,284.49,53,58,2.43,1631702841
53,saint-leu,JP,24.8,125.2833,300.3,94,75,3.09,1631702711
54,lokosovo,MX,27.9769,-114.0611,293.8,86,0,5.26,1631702843
55,hirara,TL,-8.9266,125.4092,289.9,87,38,1.2,1631702533
56,guerrero negro,IS,64.8945,-23.7142,281.09,67,95,1.96,1631702644
57,airai,SJ,78.2186,15.6401,275.06,75,75,5.14,1631702542
58,olafsvik,CA,49.8689,-99.3602,276.28,46,66,3.25,1631702804
59,longyearbyen,PF,-9.8,-139.0333,298.21,81,33,9.92,1631702696
60,carberry,CK,-21.2078,-159.775,295.18,88,75,4.63,1631702526
61,atuona,MU,-20.3428,57.7575,298.29,69,40,6.17,1631702578
